S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported,,,,,,,,
1,BAGALKOT,1691,57,197,2296,824,634,3754,3.37,,,,,,,,3.18
2,BALLARI,1668,51,173,1788,1164,827,3779,3.06,,,,,,,,3.18
3,BELAGAVI,1780,32,54,326,111,0,437,1.8,,,,,,,,3.18
4,BELAGAVI CHIKKODI,2253,52,174,2456,1363,1229,5048,2.31,,,,,,,,3.18
5,BENGALURU RURAL,1217,45,68,467,96,71,634,3.7,,,,,,,,3.18
6,BENGALURU U NORTH,844,14,56,296,292,586,1174,1.66,,,,,,,,3.18
7,BENGALURU U SOUTH,1347,38,85,960,502,502,1964,2.82,,,,,,,,3.18
8,BIDAR,1769,12,50,231,208,353,792,0.68,,,,,,,,3.18
9,CHAMARAJANAGARA,934,15,23,271,142,144,557,1.61,,,,,,,,3.18
10,CHIKKABALLAPURA,1664,103,235,2826,1180,324,4330,6.19,,,,,,,,3.18
11,CHIKKAMAGALURU,1635,25,75,788,431,226,1445,1.53,,,,,,,,3.18
12,CHITRADURGA,2039,124,225,2526,918,447,3891,6.08,,,,,,,,3.18
13,DAKSHINA KANNADA,1421,539,2475,25057,18827,15668,59552,37.93,,,,,,,,3.18
14,DAVANAGERE,1846,49,134,1352,647,507,2506,2.65,,,,,,,,3.18
15,DHARWAD,1076,22,144,1546,859,966,3371,2.04,,,,,,,,3.18
16,GADAG,887,1,9,142,92,0,234,0.11,,,,,,,,3.18
17,HASSAN,2720,82,181,1276,554,280,2110,3.01,,,,,,,,3.18
18,HAVERI,1519,49,592,1980,966,601,3547,3.23,,,,,,,,3.18
19,KALABURGI,2180,12,50,1246,515,0,1761,0.55,,,,,,,,3.18
20,KODAGU,499,2,16,0,166,90,256,0.4,,,,,,,,3.18
21,KOLAR,2039,12,28,268,204,167,639,0.59,,,,,,,,3.18
22,KOPPAL,1151,16,57,1186,431,49,1666,1.39,,,,,,,,3.18
23,MANDYA,2006,57,127,1529,688,101,2318,2.84,,,,,,,,3.18
24,MYSURU,2399,29,61,575,297,241,1113,1.21,,,,,,,,3.18
25,RAICHUR,1727,13,44,413,161,73,647,0.75,,,,,,,,3.18
26,RAMANAGARA,1466,29,73,666,313,283,1262,1.98,,,,,,,,3.18
27,SHIVAMOGGA,2257,73,117,1121,588,254,1963,3.23,,,,,,,,3.18
28,TUMAKURU,2429,24,33,277,157,83,517,0.99,,,,,,,,3.18
29,TUMAKURU MADHUGIRI,1477,37,71,602,308,199,1109,2.51,,,,,,,,3.18
30,UDUPI,967,32,133,1605,946,714,3265,3.31,,,,,,,,3.18
31,UTTARA KANNADA,1102,32,61,372,140,77,589,2.9,,,,,,,,3.18
32,UTTARA KANNADA SIRSI,1278,14,12,121,21,0,142,1.1,,,,,,,,3.18
33,VIJAYAPURA,2317,13,39,649,246,127,1022,0.56,,,,,,,,3.18
34,YADAGIRI,1096,0,0,0,0,0,0,0,,,,,,,,3.18
