S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1614,8977,117512,67150,36212,220874,95.45
2,BALLARI,1668,1511,7291,116875,62963,33314,213152,90.59
3,BELAGAVI,1780,1688,7916,111295,65168,37057,213520,94.83
4,BELAGAVI CHIKKODI,2253,2107,10281,157836,89723,50853,298412,93.52
5,BENGALURU RURAL,1217,1217,3285,30814,21111,12954,64879,100
6,BENGALURU U NORTH,844,682,2973,38800,24899,14821,78520,80.81
7,BENGALURU U SOUTH,1347,101,375,3752,3729,2987,10468,7.5
8,BIDAR,1769,1171,6801,60168,36508,20762,117438,66.2
9,CHAMARAJANAGARA,934,729,3053,30538,18670,12164,61372,78.05
10,CHIKKABALLAPURA,1664,1490,4045,39877,25837,18299,84013,89.54
11,CHIKKAMAGALURU,1635,1480,4333,35965,21180,15397,72542,90.52
12,CHITRADURGA,2039,1853,6262,75448,44194,28463,148105,90.88
13,DAKSHINA KANNADA,1421,1387,5549,64215,46449,32608,143272,97.61
14,DAVANAGERE,1846,1713,7225,83374,49620,30031,163025,92.8
15,DHARWAD,1076,1003,6407,77102,46518,28030,151650,93.22
16,GADAG,887,701,3750,50675,28186,16184,95045,79.03
17,HASSAN,2720,2162,6071,45726,30035,21638,97399,79.49
18,HAVERI,1519,1316,6494,81425,47558,27182,156165,86.64
19,KALABURGI,2179,1147,5153,73939,36553,13860,124352,52.64
20,KODAGU,499,399,1577,12239,8559,6661,27459,79.96
21,KOLAR,2038,1948,5454,50796,31397,19307,101500,95.58
22,KOPPAL,1151,923,4429,81111,41644,20943,143698,80.19
23,MANDYA,2007,1754,4652,48259,31332,23085,102676,87.39
24,MYSURU,2399,1954,6523,84418,54052,32443,170913,81.45
25,RAICHUR,1727,1539,6443,110847,50326,24632,185805,89.11
26,RAMANAGARA,1466,1216,3152,30050,18463,11361,59874,82.95
27,SHIVAMOGGA,2257,2137,6755,69726,41587,27632,138945,94.68
28,TUMAKURU,2429,2183,5988,54449,34157,23981,112587,89.87
29,TUMAKURU MADHUGIRI,1477,1319,3582,40970,22981,14052,78003,89.3
30,UDUPI,967,946,3475,36082,25221,16812,78115,97.83
31,UTTARA KANNADA,1102,1056,3327,25983,16567,11151,53701,95.83
32,UTTARA KANNADA SIRSI,1278,1117,3397,37585,21839,12767,72191,87.4
33,VIJAYAPURA,2317,1436,6747,89100,46760,22757,158617,61.98
34,YADAGIRI,1096,762,2912,61495,25306,9264,96065,69.53
