District,State,Population,Growth,Sex-Ratio,Litracy
Bangalore,Karnataka,9621551,47.18 %,916,87.67
Belgaum,Karnataka,4779661,13.41 %,973,73.48
Mysore,Karnataka,3001127,13.63 %,985,72.79
Tumkur,Karnataka,2678980,3.65 %,984,75.14
Gulbarga,Karnataka,2566326,18.01 %,971,64.85
Bellary,Karnataka,2452595,20.99 %,983,67.43
Bijapur,Karnataka,2177331,20.50 %,960,67.15
Dakshina Kannada,Karnataka,2089649,10.11 %,1020,88.57
Davanagere,Karnataka,1945497,8.63 %,972,75.74
Raichur,Karnataka,1928812,15.51 %,1000,59.56
Bagalkot,Karnataka,1889752,14.40 %,989,68.82
Dharwad,Karnataka,1847023,15.13 %,971,80
Mandya,Karnataka,1805769,2.38 %,995,70.4
Hassan,Karnataka,1776421,3.18 %,1010,76.07
Shimoga,Karnataka,1752753,6.71 %,998,80.45
Bidar,Karnataka,1703300,13.37 %,956,70.51
Chitradurga,Karnataka,1659456,9.33 %,974,73.71
Haveri,Karnataka,1597668,11.02 %,950,77.4
Kolar,Karnataka,1536401,10.77 %,979,74.39
Uttara Kannada,Karnataka,1437169,6.17 %,979,84.06
Koppal,Karnataka,1389920,16.21 %,986,68.09
Chikkaballapura,Karnataka,1255104,9.23 %,972,69.76
Udupi,Karnataka,1177361,5.85 %,1094,86.24
Yadgir,Karnataka,1174271,22.81 %,989,51.83
Chikmagalur,Karnataka,1137961,-0.26 %,1008,79.25
Ramanagara,Karnataka,1082636,5.05 %,976,69.22
Gadag,Karnataka,1064570,9.54 %,982,75.12
Chamarajanagar,Karnataka,1020791,5.73 %,993,61.43
Bangalore Rural,Karnataka,990923,16.45 %,946,77.93
Kodagu,Karnataka,554519,1.09 %,1019,82.61
