distcd,distname,Enr Govt1,Enr Govt2,Enr Govt3,Enr Govt4,Enr Govt5,Enr Govt6,Enr Govt7,Enr Govt9,Enr Pvt1,Enr Pvt2,Enr Pvt3,Enr Pvt4,Enr Pvt5,Enr Pvt6,Enr Pvt7,Enr Pvt9,Enr R Govt1,Enr R Govt2,Enr R Govt3,Enr R Govt4,Enr R Govt5,Enr R Govt6,Enr R Govt7,Enr R Govt9,Enr R Pvt1,Enr R Pvt2,Enr R Pvt3,Enr R Pvt4,Enr R Pvt5,Enr R Pvt6,Enr R Pvt7,Enr R Pvt9,Enr Py4 C1,Enr Py4 C2,Enr Py4 C3,Enr Py4 C4,Enr Py4 C5,Enr Py4 C6,Enr Py4 C7,Enr Py4 C8,Enr Py3 C1,Enr Py3 C2,Enr Py3 C3,Enr Py3 C4,Enr Py3 C5,Enr Py3 C6,Enr Py3 C7,Enr Py3 C8,Enr Py2 C1,Enr Py2 C2,Enr Py2 C3,Enr Py2 C4,Enr Py2 C5,Enr Py2 C6,Enr Py2 C7,Enr Py2 C8,Enr Py1 C1,Enr Py1 C2,Enr Py1 C3,Enr Py1 C4,Enr Py1 C5,Enr Py1 C6,Enr Py1 C7,Enr Py1 C8,Enr Cy C1,Enr Cy C2,Enr Cy C3,Enr Cy C4,Enr Cy C5,Enr Cy C6,Enr Cy C7,Enr Cy C8,Sc Enrp Cy,Sc Enrup Cy,Scg Enrp Cy,Scg Enrup Cy,St Enrp Cy,Stg Enrp Cy,St Enrup Cy,Stg Enrup Cy,Gerp Py2,Gerp Py1,Gerp Cy,Gerup Py2,Gerup Py1,Gerup Cy,Nerp Py2,Nerp Py1,Nerp Cy,Nerup Py2,Nerup Py1,Nerup Cy,Pc Girls1,Pc Girls2,Pc Girls3,Pc Girls4,Pc Girls5,Pc Girls,Enr G C1,Enr G C2,Enr G C3,Enr G C4,Enr G C5,Enr G C6,Enr G C7,Enr G C8,Enr Dis B C1,Enr Dis B C2,Enr Dis B C3,Enr Dis B C4,Enr Dis B C5,Enr Dis B C6,Enr Dis B C7,Enr Dis B C8,Enr Dis G C1,Enr Dis G C2,Enr Dis G C3,Enr Dis G C4,Enr Dis G C5,Enr Dis G C6,Enr Dis G C7,Enr Dis G C8,Grossness P,Grossness Up,Enr Med1 1,Enr Med1 2,Enr Med1 3,Enr Med1 4,Enr Med1 5,Enr Med1 6,Enr Med1 7,Enr Med2 1,Enr Med2 2,Enr Med2 3,Enr Med2 4,Enr Med2 5,Enr Med2 6,Enr Med2 7,Enr Med3 1,Enr Med3 2,Enr Med3 3,Enr Med3 4,Enr Med3 5,Enr Med3 6,Enr Med3 7,Rep C1,Rep C2,Rep C3,Rep C4,Rep C5,Rep C6,Rep C7,Rep C8,Muslim P,Muslim Up,Muslim G P,Muslim G Up,Obc P,Obc Up,Obc G P,Obc G Up
2902,BAGALKOT                                          ,22704,163024,0,811,727,8472,4142,0,15051,69126,1111,966,2074,9128,201,0,18792,131438,0,515,0,7139,2558,0,8999,31953,0,59,0,3138,0,0,42726,41816,42648,40746,38153,34020,32759,7542,43577,39514,39984,40588,39474,35901,31890,7850,44059,41605,39070,39786,40478,37530,34542,29484,45283,42358,40114,37942,39088,37748,36076,31603,44617,43995,41495,39722,37869,37828,37623,34407,40702,19938,19712,9412,11065,5408,5804,2755,0,0,103.86,0,0,87.36,0,0,97.68,0,0,83.24,17861,112908,387,1165,927,143359,21784,21492,19618,19069,18314,18124,18081,16332,423,319,324,291,358,334,324,115,327,237,232,267,280,248,233,87,195335,104670,34790,216100,0,1098,2227,12622,1935,487,6216,1111,679,87,4248,2408,2478,9617,0,0,107,730,0,402,371,317,322,307,471,459,209,25762,12881,12541,6362,144639,74025,70123,35829
2921,BANGALORE RURAL                                   ,15355,41088,0,198,778,0,137,0,2895,16502,20172,0,180,13437,72,0,14215,35065,0,101,778,0,137,0,1982,8339,7334,0,180,9274,72,0,15372,14466,14711,15425,15713,15166,15144,4446,14705,13772,13836,14232,15038,14932,14771,4484,15273,14666,14185,14290,14840,15249,15212,14553,15870,14796,14608,14273,14469,14576,15241,14016,16297,15169,14790,14696,14434,13955,14459,15427,18372,10839,9050,5278,5250,2537,3069,1490,0,0,99.2,0,0,85,0,0,89.51,0,0,74.56,9269,28690,9075,100,513,53827,7786,7454,7001,7172,7159,6785,7075,7523,87,103,124,154,156,125,151,109,56,79,101,93,128,107,111,79,68027,38454,16248,47713,7501,101,165,3958,26,965,7515,12313,0,872,9001,209,784,2435,0,97,0,0,0,725,605,443,473,423,330,294,577,8694,4582,4224,2312,45974,26570,22262,12957
2928,BANGALORE U NORTH                                 ,10208,54698,8263,0,226,3431,150,0,13063,114557,6400,208,189,271953,428,0,3474,9254,0,0,0,0,150,0,2947,9896,0,171,0,25263,0,0,55561,52984,53755,54533,53958,51096,50378,25038,58717,55894,55036,54984,56370,54202,51876,28972,61013,58937,57746,57383,57616,57012,56187,53092,64986,63083,60735,60712,59807,58084,58484,55232,63477,64216,65023,63222,62444,60481,60959,59070,41929,23190,20646,11313,6939,3326,3875,1848,0,0,0,0,0,0,0,0,0,0,0,0,11669,85839,8975,100,217,236563,30958,31545,31809,31025,30388,29703,30054,28687,92,476,203,173,172,175,155,143,96,298,139,118,135,172,145,111,282314,152552,6128,66018,14353,0,377,215519,361,14683,89210,310,171,38,58813,217,1753,9281,0,0,0,1052,0,909,786,810,689,665,1208,1927,2882,40536,21209,20023,10712,101726,56978,49890,28374
2920,BANGALORE U SOUTH                                 ,18244,82133,4665,0,0,622,365,0,17636,133437,265564,135,602,151635,235,0,9532,22497,0,0,0,0,226,0,2360,18750,21912,0,155,34983,4,0,81143,74403,73498,73790,71550,66875,65139,33413,87167,80871,79125,78388,78657,73975,71021,39674,91474,84870,82588,80499,79687,77743,74605,70910,102608,91694,88257,87682,84312,77943,77874,74198,103727,94936,90028,88050,85062,78864,78315,76052,67201,36493,33311,18228,12900,6179,5879,2897,0,0,0,0,0,0,0,0,0,0,0,0,17902,109996,128445,30,230,328074,50608,46256,43975,42777,41463,38398,38078,36751,144,332,211,212,184,236,218,208,103,207,138,134,143,136,130,141,373347,200809,5862,61022,227316,0,602,110263,518,27514,137896,41879,135,0,41952,82,2168,13891,349,0,0,42,0,129,87,47,56,63,23,12,80,68615,30648,34177,15584,160971,83690,78141,40596
2901,BELGAUM                                           ,22500,156725,2433,600,0,2017,2190,0,12297,64816,322,3536,0,8542,1874,0,19547,130089,676,581,0,2017,803,0,6068,22003,322,442,0,4215,1329,0,38581,37623,38987,39175,37751,37147,37745,8952,38882,36677,37979,39707,39935,37799,36824,6148,40079,38845,37302,38663,40362,40130,37886,36413,40854,40135,38654,37663,38594,39160,38615,36060,39722,39545,39105,37908,36658,37550,38439,36829,19709,10857,9607,5346,16892,8205,9102,4275,0,0,0,0,0,0,0,0,0,0,0,0,17338,107361,1160,2406,0,134448,19273,19459,18936,18267,17689,18163,18421,17586,250,173,236,294,263,326,303,170,350,179,251,248,277,320,349,136,187505,107874,24550,153673,0,1331,0,4131,1621,4154,33570,0,1130,0,689,6,4024,21788,2755,1675,0,5739,2177,94,22,121,8,31,31,20,158,24850,13385,12321,6612,77948,42795,38693,21232
2930,BELGAUM CHIKKODI                                  ,28543,188465,0,302,919,5043,3991,0,15738,100483,454,1862,296,17151,3279,0,26529,168083,0,256,243,5043,3373,0,11287,79552,0,873,296,5205,1092,0,52185,51157,51624,50445,48781,46951,47705,13022,50863,48577,50066,50809,49155,46281,45414,12268,53128,50110,49078,50746,51409,49149,46454,43830,54044,51742,48560,48125,49790,49767,48248,43725,54504,53102,50388,47756,47177,48568,48631,45126,38690,21305,18823,10209,15162,7288,8156,3858,0,0,0,0,0,0,0,0,0,0,0,0,21310,139715,192,974,539,174999,26200,25761,23795,22865,22377,22941,23076,21250,277,433,422,623,336,341,394,262,200,286,266,313,191,212,220,135,245442,137068,38677,243956,454,686,972,11290,4994,2593,26709,0,775,0,917,208,2637,13246,0,0,0,1338,0,546,642,585,543,593,508,499,507,23064,12087,11586,6020,153601,80328,74062,38824
2912,BELLARY                                           ,29007,189994,341,656,0,4794,4528,0,16703,81316,578,268,0,19992,674,0,23268,149478,0,478,0,4350,2830,0,10670,27796,174,232,0,5636,364,0,52306,51405,51666,48135,48336,41887,40265,11221,53129,47285,48003,48176,45831,42881,37099,11700,52981,50668,48463,49033,49307,43871,41402,34835,54491,51071,49546,48250,48551,44462,41113,38965,53491,50661,48660,46711,45220,43696,41740,38395,59325,28535,28776,13451,50987,24707,25579,12009,0,0,97.26,0,0,80.92,0,0,89.98,0,0,75.19,21652,133098,396,768,0,168975,26053,24700,22869,22720,22137,21351,20093,17972,232,520,308,297,299,417,369,362,168,385,211,209,198,273,244,247,226429,115076,42191,241281,476,743,0,10294,2161,532,22175,443,181,0,14492,3041,2987,7258,0,0,0,0,0,1205,980,881,714,769,765,669,1019,28360,13043,13960,6410,109121,55629,52903,27117
2905,BIDAR                                             ,22301,129063,0,599,248,936,2771,0,22421,118191,0,65,0,16303,131,0,20104,116575,0,450,248,0,1588,0,12758,49948,0,0,0,3073,0,0,47336,45795,47194,44577,42926,37959,35897,10078,49039,45863,45653,46453,44106,40560,36780,9193,50918,45985,44289,43851,44450,39884,37996,30583,49261,46396,43591,41351,40700,38172,36138,32102,48903,47510,45126,42597,40927,37721,37082,32382,57894,25134,28212,11878,31326,15069,14948,7652,0,0,130.01,0,0,95.78,0,0,129.09,0,0,92.24,21079,121757,0,628,97,152423,23793,23052,21879,20627,19684,18452,18210,15934,256,452,367,395,395,330,310,175,180,368,303,303,302,264,248,113,223457,103220,32733,174887,0,664,0,4799,1135,7606,41545,0,0,0,2736,0,3418,25851,0,0,0,121,0,72,37,30,48,68,44,57,34,48743,23233,24823,12425,94355,45731,46565,22990
2903,BIJAPUR                                           ,34565,221854,672,505,328,0,3780,0,39171,74671,585,937,113,11323,923,0,31267,193998,0,298,0,0,2813,0,26486,35666,0,495,113,3142,701,0,57162,57981,59121,55320,53674,45384,42337,10563,59985,55330,56623,57664,54036,47258,41570,10796,60014,57309,53162,53793,54673,47199,43330,35842,62419,58541,55311,51983,51586,47721,43723,38014,64092,60535,55513,53267,49729,45380,44646,39128,58029,25182,27707,11513,4651,2158,2140,1000,0,0,120.13,0,0,89.67,0,0,117.61,0,0,86.89,33005,144297,461,753,22,185291,30747,29204,25905,25099,23522,21743,21149,17908,170,491,423,373,420,332,417,365,144,384,263,269,279,247,263,271,277191,125143,66860,268502,585,646,0,6420,1709,6287,24817,0,48,0,868,113,523,2935,672,748,441,3854,2881,294,200,200,156,209,125,110,52,47279,27822,23478,10777,212160,96069,100842,45721
2927,CHAMARAJANAGARA                                   ,11482,54857,0,596,0,224,2305,0,2516,29275,0,697,0,0,0,0,10333,49940,0,409,0,224,1183,0,2080,11704,0,457,0,0,0,0,14892,14427,14982,15754,16280,14496,15289,2354,14620,14063,14024,14613,15589,15290,13895,2019,14449,14236,14075,14335,14702,15535,15499,14146,14869,14217,14087,14094,14373,14669,15250,14976,14401,13907,13832,13656,13687,13724,13925,14237,17967,11531,8691,5628,9721,4768,5547,2723,0,0,93.47,0,0,83.07,0,0,85.34,0,0,76.38,6743,40718,0,604,0,49459,7032,6755,6594,6574,6662,6696,6741,7127,148,100,130,121,142,131,147,126,133,97,81,83,85,79,92,87,63442,38510,13265,73186,0,882,0,0,888,61,8291,0,343,0,224,1382,428,1576,0,0,0,0,0,209,180,192,177,209,196,202,127,4684,2207,2259,1124,39627,23371,19153,11475
