Year,DISTCD,STATNAME,DISTNAME,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,C15A,C68A,C1_BD,C2_BD,C3_BD,C4_BD,C5_BD,C6_BD,C7_BD,C8_BD,C1_GD,C2_GD,C3_GD,C4_GD,C5_GD,C6_GD,C7_GD,C8_GD,C1_BR,C2_BR,C3_BR,C4_BR,C5_BR,C6_BR,C7_BR,C8_BR,C9_BR,C1_GR,C2_GR,C3_GR,C4_GR,C5_GR,C6_GR,C7_GR,C8_GR,C9_GR,SCPTOT,SCPTOT_G,SCUTOT,SCUTOT_G,STPTOT,STPTOT_G,STUTOT,STUTOT_G,OBPTOT,OBUTOT,OBPTOT_G,OBUTOT_G,MUPTOT,MUUTOT,MUPTOT_G,MUUTOT_G,BLC1,LVC1,HEC1,SPC1,LOC1,MEC1,LEC1,CPC1,AUC1,MUC1,BLC2,LVC2,HEC2,SPC2,LOC2,MEC2,LEC2,CPC2,AUC2,MUC2,BLC3,LVC3,HEC3,SPC3,LOC3,MEC3,LEC3,CPC3,AUC3,MUC3,BLC4,LVC4,HEC4,SPC4,LOC4,MEC4,LEC4,CPC4,AUC4,MUC4,BLC5,LVC5,HEC5,SPC5,LOC5,MEC5,LEC5,CPC5,AUC5,MUC5,BLC6,LVC6,HEC6,SPC6,LOC6,MEC6,LEC6,CPC6,AUC6,MUC6,BLC7,LVC7,HEC7,SPC7,LOC7,MEC7,LEC7,CPC7,AUC7,MUC7,BLC8,LVC8,HEC8,SPC8,LOC8,MEC8,LEC8,CPC8,AUC8,MUC8,TOTCLGD1G,TOTCLGD2G,TOTCLGD3G,TOTCLGD4G,TOTCLGD5G,TOTCLGD6G,TOTCLGD7G,TOTCLMI1G,TOTCLMI2G,TOTCLMI3G,TOTCLMI4G,TOTCLMI5G,TOTCLMI6G,TOTCLMI7G,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ4G,TOTCLMJ5G,TOTCLMJ6G,TOTCLMJ7G,TOTCLOT1G,TOTCLOT2G,TOTCLOT3G,TOTCLOT4G,TOTCLOT5G,TOTCLOT6G,TOTCLOT7G,TCHBS1,TCHBS2,TCHBS3,TCHBS4,TCHBS5,TCHBS6,TCHBS7,TCHSEC1,TCHSEC2,TCHSEC3,TCHSEC4,TCHSEC5,TCHSEC6,TCHSEC7,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHHS6,TCHHS7,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHGD6,TCHGD7,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHPG6,TCHPG7,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5,TCHMD6,TCHMD7,TCHPD1,TCHPD2,TCHPD3,TCHPD4,TCHPD5,TCHPD6,TCHPD7,TCHNR1,TCHNR2,TCHNR3,TCHNR4,TCHNR5,TCHNR6,TCHNR7,TCHCON1,TCHCON2,TCHCON3,TCHCON4,TCHCON5,TCHCON67,TCHCON8,TCHCON9,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHN1,TCHN2,TCHN3,TCHN4,TCHN5,TCHN6,TCHN7,TCHCM1,TCHCM2,TCHCM3,TCHCM4,TCHCM5,TCHCM6,TCHCM7,TCHCF1,TCHCF2,TCHCF3,TCHCF4,TCHCF5,TCHCF6,TCHCF7,TCHCN1,TCHCN2,TCHCN3,TCHCN4,TCHCN5,TCHCN6,TCHCN7,TLM_R1,TLM_R2,TLM_R3,TLM_R4,TLM_R5,TLM_R6,TLM_R7,TLME,TLMR,CONTIE,CONTIR,CONTI_R1,CONTI_R2,CONTI_R3,CONTI_R4,CONTI_R5,CONTI_R6,CONTI_R7,PIDAY30,PIDAYSCH,UIDAY35,UIDAYSCH,M1,M2,M3,M4,M5,ENRE11,ENRE12,ENRE13,ENRE14,ENRE15,ENRE16,ENRE17,ENRE21,ENRE22,ENRE23,ENRE24,ENRE25,ENRE26,ENRE27,ENRE31,ENRE32,ENRE33,ENRE34,ENRE35,ENRE36,ENRE37,ENRE41,ENRE42,ENRE43,ENRE44,ENRE45,ENRE46,ENRE47,ENRE51,ENRE52,ENRE53,ENRE54,ENRE55,ENRE56,ENRE57,TCH_5556M,TCH_5556F,TCH_5556T,TCH_5758M,TCH_5758F,TCH_5758T,TCH_5960M,TCH_5960F,TCH_5960T,PPTR30,UPTR35,PSCR30,USCR35,NOTCH_ASS,TCHINV,PTXT_ALL,PTXT_SC,PTXT_ST,PUNI_ALL,PUNI_SC,PUNI_ST,UTXT_ALL,UTXT_SC,UTXT_ST,UUNI_ALL,UUNI_SC,UUNI_ST,TOTCLS1G,TOTCLS2G,TOTCLS3G,TOTCLS4G,TOTCLS5G,TOTCLS6G,TOTCLS7G
2015-16,2901,KARNATAKA,BELGAUM,21064,20480,20282,19981,19819,19285,18707,19513,18661,19731,19458,19086,19623,18603,18119,17635,18109,16995,190169,91794,190,180,277,278,244,257,295,253,131,154,218,178,193,203,189,170,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,30,19953,9799,11020,5405,17382,8551,8977,4288,93681,48932,46434,24592,25436,13568,12755,6870,7,22,35,25,59,75,6,14,9,69,6,36,56,28,74,73,5,5,6,45,8,43,61,53,126,106,3,0,4,91,16,47,45,40,94,142,8,5,2,57,12,68,41,44,124,70,8,11,3,56,5,57,67,57,135,80,9,4,1,45,7,82,51,63,132,80,9,5,7,48,6,75,51,38,122,72,17,3,2,37,1845,6622,81,130,18,410,147,237,1158,0,0,0,10,0,166,850,0,0,0,4,0,335,871,2,38,5,73,19,56,203,0,12,0,36,0,854,3355,30,39,66,340,143,784,2766,10,18,0,120,10,216,797,21,16,0,104,46,48,288,49,6,0,76,36,19,58,5,4,0,10,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,24,13,0,0,0,0,959,3384,63,29,23,275,173,1018,4083,52,66,43,411,72,0,0,0,0,0,0,0,6,14,4,1,0,0,0,5,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13468958,13799052,583,839,0,12,0,8,10,415104,1788,259682,1118,5,19,10,18,4,25989,149561,0,1649,0,6345,1811,3952,24826,3558,1732,455,9946,2352,3697,31194,0,826,0,810,0,2401,11545,0,0,0,105,0,0,0,0,0,151,0,0,157,175,332,112,122,234,11,21,32,240,37,383,222,0,0,103500,13315,12449,92551,11926,11112,84772,10026,8790,73767,8841,7799,2248,8630,81,130,18,424,147
2015-16,2902,KARNATAKA,BAGALKOT,22370,21690,21052,21206,20668,19316,18614,18675,17403,20313,20184,20439,20334,18849,18345,17801,17212,15536,195895,92624,265,291,301,371,276,285,258,164,203,217,240,267,217,211,195,92,6,1,2,4,2,1,1,22,40,6,3,2,1,3,4,1,12,14,41338,20190,20875,9987,11424,5558,5676,2825,149078,78078,72060,38158,24596,12869,11983,6305,35,25,16,93,109,91,7,4,6,82,20,33,29,78,116,102,18,6,4,102,20,36,29,72,153,119,16,1,6,89,30,46,42,98,134,148,27,2,5,106,25,41,36,74,122,113,19,3,0,60,20,60,42,59,131,114,12,4,1,53,32,67,29,61,114,90,18,0,1,41,19,41,27,33,58,40,17,0,3,18,2074,6723,58,96,43,745,115,188,931,0,0,0,32,7,114,801,0,0,0,25,0,425,849,32,12,16,222,61,290,1159,2,14,7,109,36,209,828,5,13,0,52,16,897,3366,11,43,41,382,27,301,1016,48,25,5,357,98,63,232,18,6,14,146,51,14,104,3,0,3,20,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,1,0,1,0,0,958,3699,36,47,55,570,145,818,3013,51,54,15,496,90,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,215647,227539,12212775,12695625,450,754,1,0,0,33,1,408259,1756,268182,1152,5,19,18,10,0,34864,204752,390,846,1498,15918,762,570,7565,1370,1428,236,9631,3557,1925,9616,0,0,0,990,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,112,60,172,50,23,73,0,0,0,342,48,423,271,71,7,114197,29233,7222,96096,25221,6364,92656,20201,7123,81769,18640,6628,2376,8455,58,96,43,802,122
2015-16,2903,KARNATAKA,BIJAPUR (KARNATAKA),30760,28764,27539,26010,25137,23143,21966,20403,19419,27553,26230,26431,24822,22244,20937,20063,18365,16296,246993,99053,360,277,327,343,356,274,290,195,222,204,298,273,230,217,188,157,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,3,1,60086,29087,27929,12927,3954,1911,1954,920,192792,90155,92372,43277,46489,22538,22745,11080,20,52,61,77,96,134,21,11,10,100,15,48,55,69,103,109,10,4,4,64,18,73,83,81,115,140,18,12,7,78,13,61,65,77,147,116,35,6,10,86,2,94,72,76,120,114,41,7,4,56,4,104,61,50,92,115,22,3,1,39,5,91,69,48,104,92,17,2,2,48,1,83,57,40,87,47,12,2,0,23,3858,8201,55,147,68,672,131,332,1108,0,1,0,16,8,157,1072,0,0,0,47,0,350,352,0,19,12,115,49,1351,2341,10,47,3,243,84,379,977,3,11,6,53,14,1656,4129,9,46,27,266,56,284,648,0,25,0,131,52,78,278,19,11,0,90,63,34,84,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2089,4810,28,73,35,468,180,1693,3647,13,67,1,333,94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,166589,495451,13841606,14365396,696,837,0,1,0,26,7,618853,2665,332622,1432,5,18,19,10,0,64822,238419,519,656,0,16674,1229,6433,20022,0,40,0,1464,136,999,4294,1026,2111,268,3935,3980,147,230,0,0,0,123,0,0,0,0,0,0,0,0,180,58,238,91,44,135,10,5,15,405,39,580,268,69,14,130700,33865,2361,125261,31560,2253,79352,18140,1478,71768,16881,1353,4347,10378,55,148,68,735,139
2015-16,2904,KARNATAKA,GULBARGA,33778,32958,32320,31462,30580,27999,26852,24580,21790,31849,31153,30909,29836,27373,25471,24693,21919,18688,299771,133756,280,348,458,492,589,470,521,306,202,246,372,360,444,337,418,226,561,517,444,442,453,279,353,388,357,483,488,501,460,363,233,222,159,124,86037,41857,39488,18118,6547,3021,2971,1402,208477,102622,101191,49564,69537,34320,34501,17438,37,53,30,79,107,101,14,4,0,57,15,106,41,97,114,133,27,10,3,48,29,146,68,113,165,194,26,5,2,82,34,131,66,131,160,194,28,18,7,83,36,200,73,152,215,196,38,15,9,99,39,185,56,111,158,139,38,8,8,65,35,276,79,132,222,90,41,1,0,63,35,202,57,65,82,44,25,3,2,17,4047,10296,71,130,6,1169,225,306,1149,0,0,0,45,6,222,997,0,0,0,66,0,677,1265,8,11,5,325,100,894,1876,5,27,0,264,81,465,1375,0,8,8,116,29,1380,3977,10,36,0,309,77,387,1036,24,14,0,217,88,71,253,2,2,0,77,55,44,268,0,0,0,35,12,9,4,0,0,0,0,0,83,47,0,0,0,28,12,274,275,772,338,69,30,2,15,1522,4019,27,31,5,385,232,1755,4799,14,56,3,640,122,56,18,0,0,0,21,0,48,145,1,6,0,82,18,325,638,7,21,0,468,15,1,0,0,0,0,0,0,34,40,0,0,0,2,0,257376,378336,13488721,14985233,709,858,1,4,1,41,10,646952,2815,382325,1661,5,18,19,10,4,63764,255409,291,822,0,20130,2791,7818,35250,0,0,0,8045,267,343,20002,3286,1062,238,16162,3370,20,1498,0,0,0,0,25,0,519,0,0,0,0,0,189,187,376,101,141,242,3,16,19,562,65,637,360,1431,44,128382,48065,2577,104085,40149,2248,125156,37275,2733,106323,31934,2345,4575,12442,71,130,6,1271,231
2015-16,2905,KARNATAKA,BIDAR,22089,20657,20266,19757,19015,17187,16670,15354,14564,20786,19769,19348,19027,17852,16525,15795,15049,14004,198276,84567,211,368,402,397,378,308,229,83,199,332,346,331,324,231,169,82,13,10,3,2,4,3,1,60,90,19,3,2,3,5,5,2,58,80,53067,26058,24822,11802,29238,14363,14743,7398,94802,45678,46434,22907,44020,21582,22002,11147,26,66,23,49,62,54,89,7,0,34,11,92,55,86,87,70,233,3,2,61,17,60,60,86,101,112,219,7,5,81,19,60,41,73,116,99,214,11,6,89,17,51,40,100,113,104,175,7,6,89,17,38,30,61,88,90,122,11,4,78,23,43,19,33,67,69,80,8,2,54,9,19,7,20,48,23,18,7,0,14,2980,7937,0,36,16,744,118,223,1016,0,2,0,38,6,97,610,0,0,0,14,0,139,376,0,0,0,29,0,58,112,0,0,1,11,1,639,1821,0,3,1,56,26,1419,4855,0,21,8,374,129,160,474,0,5,0,120,35,22,85,0,0,5,18,5,9,122,0,2,0,51,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,3799,0,9,12,276,141,1285,3670,0,22,3,354,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12450,12450,14108986,14221543,540,915,0,4,1,19,21,483913,2078,288579,1240,5,18,10,19,4,33178,149392,0,668,0,5131,1198,7696,30424,0,0,0,3022,0,2474,21075,0,0,0,829,0,257,6913,0,21,281,12338,2649,0,96,0,0,0,0,0,164,135,299,77,54,131,0,0,0,296,32,343,186,31,30,86390,28870,15428,70801,24968,13406,83998,26618,15466,64702,21260,12830,3291,9544,0,38,16,796,124
2015-16,2906,KARNATAKA,RAICHUR,23673,22687,21990,21601,20879,19569,18936,17517,15053,22366,21786,20796,20229,18558,17786,17408,15692,12464,203934,86588,263,268,281,330,264,222,222,153,185,192,213,229,192,154,160,100,75,64,73,77,80,96,88,60,28,61,53,63,69,72,66,55,39,12,47939,23054,23534,10820,43597,21069,20638,9712,114735,58105,55763,28099,29367,15645,14657,7790,33,33,22,96,92,84,31,2,3,52,40,35,30,78,104,78,37,2,3,53,25,31,34,80,116,88,32,12,3,73,28,44,36,101,114,101,41,5,6,83,16,41,38,61,99,112,24,3,5,57,20,30,19,58,91,68,24,7,3,56,28,42,27,53,83,85,17,5,2,40,19,27,22,29,57,53,16,5,2,23,2659,5830,17,52,14,1012,235,288,787,0,13,1,60,13,189,779,0,0,0,33,10,505,1059,28,16,14,249,132,67,57,0,0,0,8,0,166,439,0,2,0,65,14,1768,4820,7,25,1,596,31,418,943,16,6,18,613,175,52,145,4,0,10,91,59,12,11,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,61,23,0,1,0,0,1284,3118,13,2,24,556,184,1199,3298,14,31,5,825,96,0,0,0,0,0,0,0,16,11,0,0,0,4,2,34,13,0,0,0,2,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,12000,13000,14130358,16741837,717,792,0,6,1,38,33,452279,1962,253544,1100,5,19,18,17,4,52947,191142,205,705,0,29279,3360,992,7084,309,168,431,6299,2813,1665,5814,0,68,0,1990,165,257,659,0,0,0,43,0,0,435,0,0,0,0,0,84,72,156,52,53,105,0,1,1,442,44,572,318,31,10,81928,22697,23162,58377,15638,17705,96559,26351,23615,80220,22482,19918,3136,7396,17,65,15,1105,258
2015-16,2907,KARNATAKA,KOPPAL,16557,15668,15581,14917,14649,13939,13646,13732,11827,15503,14889,14879,14478,13183,13091,12912,12521,10244,145291,70398,230,248,205,261,248,200,179,162,133,190,169,150,161,170,173,118,130,89,86,102,97,82,96,123,322,110,80,83,66,81,67,51,97,172,31314,15200,16140,7639,19154,9470,10425,5152,96134,50676,46582,24580,16810,8919,8163,4481,18,26,20,50,82,100,5,8,1,53,18,30,26,62,100,126,12,18,1,45,7,25,20,55,85,105,9,17,2,49,19,35,34,56,83,108,9,15,3,49,10,48,32,52,106,76,13,16,0,56,18,34,27,47,113,75,14,8,3,31,18,48,39,47,93,63,12,5,2,25,20,47,20,38,78,44,8,4,1,20,1555,4254,52,28,0,530,183,158,502,0,0,0,27,3,137,683,0,0,0,30,2,192,479,15,3,0,48,38,228,562,34,5,0,55,25,133,483,6,1,0,14,9,633,2332,3,8,0,155,68,127,480,0,5,0,127,66,40,179,2,2,0,38,55,2,26,2,1,0,11,5,0,0,0,0,0,0,0,2,1,0,0,0,1,0,505,163,706,239,59,5,0,3,643,2370,27,9,0,232,152,521,1693,20,13,0,169,76,1,0,0,0,0,0,0,159,283,35,0,0,139,44,344,440,39,0,0,155,39,3,0,0,0,0,0,0,2,2,0,1,0,0,0,173100,173105,8861252,9302100,355,473,0,1,0,18,3,288014,1271,175124,773,5,19,18,17,0,33386,150954,204,527,0,11910,3251,80,5012,1842,142,0,5658,2594,928,2460,0,88,0,411,0,18,415,0,0,0,0,0,0,0,0,0,0,0,0,70,24,94,33,20,53,2,0,2,254,21,424,221,0,0,59689,15453,9234,55914,14195,8511,104255,24249,15681,99638,23243,15291,1850,5439,52,28,0,587,188
2015-16,2908,KARNATAKA,GADAG,11009,10319,10028,10102,9643,8767,9091,9614,9180,10255,9737,9662,9881,8915,8493,8527,8933,8292,92845,42725,194,211,220,303,288,240,239,260,118,179,162,187,193,235,214,187,113,129,106,118,125,101,95,68,85,142,139,104,103,118,109,51,36,54,19469,9531,9804,4742,5851,2863,3238,1585,69823,36985,34012,18150,13964,7496,6949,3807,14,34,28,41,84,48,5,2,0,56,11,50,36,44,98,89,12,1,2,47,13,37,38,44,101,69,27,1,1,51,12,87,46,51,117,101,22,1,2,51,10,90,59,43,97,100,22,1,0,59,11,112,66,42,93,89,28,2,0,32,1,106,61,40,82,86,28,1,1,47,4,162,83,38,74,49,13,0,1,23,1021,3471,0,89,43,420,91,87,526,0,0,0,51,3,58,562,0,0,0,28,1,162,622,0,4,0,138,62,11,25,0,2,0,4,1,158,504,0,6,22,49,20,537,2178,0,37,39,271,47,158,542,0,9,20,234,46,29,172,0,4,13,160,36,13,30,0,0,0,27,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,5,47,15,1,0,0,0,377,1801,0,25,70,397,102,529,1650,0,33,24,348,49,2,1,0,0,0,0,0,6,9,0,8,0,0,7,23,16,0,2,0,0,1,0,0,0,0,0,0,0,61,191,0,0,0,16,1,4937501,5332665,6708793,7173727,156,345,0,0,0,26,2,190105,826,136380,593,5,19,18,10,17,17277,89379,0,495,555,9413,590,344,9237,0,1093,106,5822,1889,1143,4537,0,0,0,0,0,0,30,0,0,0,0,0,0,17,0,0,0,0,0,84,45,129,51,28,79,0,0,0,112,21,147,91,8,2,66023,15722,4848,60172,14752,4535,40503,8434,3023,36087,7638,2776,1166,4559,0,89,43,499,95
2015-16,2909,KARNATAKA,DHARWAD,17842,17174,17121,17048,16507,16031,15861,16435,16040,16775,16652,16099,16589,15357,15287,15146,15399,14742,154735,78704,233,218,243,271,257,250,220,193,152,153,195,207,180,214,209,142,175,152,142,187,139,218,170,185,319,187,194,167,235,178,205,168,72,122,18200,8856,10232,4899,8712,4163,4794,2338,113193,62311,55920,30706,37971,20006,19034,10250,17,25,23,34,87,78,29,11,2,79,14,41,24,38,72,82,35,7,4,54,22,60,35,46,69,124,46,8,2,26,25,67,22,59,86,107,58,6,1,47,19,81,41,49,78,93,27,12,2,35,19,109,41,47,82,100,30,8,0,28,23,120,49,36,71,76,24,4,1,25,29,100,32,23,61,54,22,3,0,11,1274,5278,62,28,17,1657,72,95,593,5,0,3,30,1,71,685,0,0,0,30,1,205,636,10,2,7,280,43,122,489,12,1,8,156,12,125,580,10,1,0,90,0,491,2029,16,6,9,485,18,329,1917,32,7,25,1246,93,59,289,36,2,8,121,48,12,61,3,1,5,39,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,1907,63,3,37,591,104,815,3460,46,15,18,1546,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,47386,47386,6658366,7903300,233,589,2,3,1,40,15,276616,1197,200817,869,5,19,18,4,17,17351,129995,608,308,310,19381,525,2724,7987,1347,74,386,37316,2780,2450,19762,0,0,0,2074,0,24,225,0,0,0,1447,0,0,107,0,0,0,0,0,160,358,518,19,36,55,0,0,0,151,35,287,183,30,2,91339,12821,6319,75630,10411,5491,51391,6904,3581,39785,4999,2899,1440,6556,67,28,20,1717,74
2015-16,2910,KARNATAKA,UTTARA KANNADA,4987,5123,4949,5232,5218,5055,5486,5455,5955,4757,4947,4863,4968,4914,4901,4912,5173,5498,45872,25819,131,126,132,168,160,165,232,158,108,91,122,131,122,126,159,98,3,0,0,2,5,3,0,21,135,4,2,2,2,5,1,1,3,44,3390,1657,2205,1072,933,496,577,253,41810,25608,20587,12462,8081,4375,4122,2257,1,42,15,20,41,45,29,3,1,42,0,46,16,21,23,67,16,4,3,21,0,55,31,32,19,37,41,5,1,33,0,61,28,28,39,48,52,1,7,35,1,66,22,36,21,33,71,3,2,27,1,61,44,24,30,33,58,7,2,31,1,118,36,28,41,25,70,2,3,67,0,67,31,39,43,12,42,5,1,16,883,2197,68,13,4,176,76,225,506,0,0,0,17,2,144,507,0,0,0,3,0,166,359,5,0,4,28,9,180,460,20,3,0,27,28,208,422,16,1,0,29,8,447,928,21,3,3,95,16,244,539,17,6,1,119,59,51,150,35,5,5,24,41,2,12,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,25,19,1,0,1,0,395,678,48,2,6,82,81,737,1833,63,16,3,213,73,0,0,0,0,0,0,0,2,5,0,0,0,2,0,25,16,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,600,600,7040841,7529946,433,418,0,0,0,6,2,250897,1074,134997,578,5,19,18,4,10,10584,33436,0,36,0,2405,1053,1157,9199,1945,385,112,4169,1050,1337,4332,0,0,0,807,173,0,0,941,0,0,0,0,0,24,0,0,0,0,0,68,103,171,47,71,118,2,0,2,37,13,44,38,0,0,30121,2461,785,28533,2414,784,18814,1627,452,15467,1420,424,1252,3210,68,13,4,196,78
